Frame_number,Image_name,left_eyelid_opening_valid,left_eyelid_opening_mm,right_eyelid_opening_valid,right_eyelid_opening_mm
412,frame_412,1,4.120463,1,3.939664
413,frame_413,1,4.084895,1,3.860873
414,frame_414,1,4.040286,1,3.923165
415,frame_415,1,3.904246,1,2.975983
416,frame_416,1,4.139265,1,3.743199
417,frame_417,1,3.958652,1,3.781173
418,frame_418,1,3.662036,1,2.613355
419,frame_419,1,1.797157,1,0.953018
420,frame_420,1,1.042628,1,1.020993
421,frame_421,1,2.249649,1,0.717305
422,frame_422,1,3.438337,1,1.99923
423,frame_423,1,4.797867,1,4.135517
424,frame_424,1,5.774994,1,4.390324
425,frame_425,1,6.128963,1,5.91941
426,frame_426,1,6.216338,1,5.700812
427,frame_427,1,6.466888,1,5.349823
428,frame_428,1,6.245532,1,5.574092
429,frame_429,1,6.944634,1,5.64588
430,frame_430,1,6.674571,1,5.420253
431,frame_431,1,6.833863,1,5.404728
432,frame_432,1,6.573457,1,5.573635
433,frame_433,1,6.512236,1,5.417897
434,frame_434,1,6.531074,1,5.53939
435,frame_435,1,6.878636,1,5.299307
436,frame_436,1,6.902081,1,5.594288
437,frame_437,1,6.964485,1,5.531942
438,frame_438,1,6.479271,1,5.309052
439,frame_439,1,6.346557,1,5.654477
440,frame_440,1,6.598515,1,5.57171
441,frame_441,1,6.68718,1,5.491167
442,frame_442,1,6.432006,1,5.307412
443,frame_443,1,7.052837,1,5.327872
444,frame_444,1,6.747606,1,5.447844
445,frame_445,1,6.652078,1,5.600164
446,frame_446,1,6.523077,1,5.548314
447,frame_447,1,6.646822,1,5.474574
448,frame_448,1,6.613797,1,5.225416
449,frame_449,1,6.214263,1,5.346955
450,frame_450,1,6.30032,1,5.240008
451,frame_451,1,6.34968,1,5.481373
452,frame_452,1,6.282536,1,5.332088
453,frame_453,1,6.286506,1,5.131816
454,frame_454,1,6.205614,1,5.545453
455,frame_455,1,6.350683,1,5.422995
456,frame_456,1,6.450321,1,5.70998
457,frame_457,1,6.161978,1,5.371036
458,frame_458,1,6.29599,1,5.302636
459,frame_459,1,6.204044,1,5.14505
460,frame_460,1,6.263372,1,5.096538
461,frame_461,1,6.318972,1,5.217329
462,frame_462,1,5.808792,1,5.272437
463,frame_463,1,5.951694,1,5.455954
464,frame_464,1,6.030978,1,5.197367
465,frame_465,1,6.034158,1,5.272296
466,frame_466,1,5.988945,1,5.246212
467,frame_467,1,6.010143,1,5.2535
468,frame_468,1,6.133622,1,5.346937
469,frame_469,1,6.08857,1,5.211435
470,frame_470,1,6.075482,1,5.414645
471,frame_471,1,6.093686,1,5.161696
472,frame_472,1,6.03008,1,5.182924
473,frame_473,1,5.937727,1,5.085352
